movement,estimate,year,or_county,location,tag
MOVEDIN,84,2010,Baker County,Oregon,IS
MOVEDOUT,0,2010,Baker County,Oregon,IS
MOVEDNET,84,2010,Baker County,Oregon,IS
MOVEDIN,99,2011,Baker County,Oregon,IS
MOVEDOUT,50,2011,Baker County,Oregon,IS
MOVEDNET,49,2011,Baker County,Oregon,IS
MOVEDIN,99,2012,Baker County,Oregon,IS
MOVEDOUT,19,2012,Baker County,Oregon,IS
MOVEDNET,80,2012,Baker County,Oregon,IS
MOVEDIN,244,2013,Baker County,Oregon,IS
MOVEDOUT,29,2013,Baker County,Oregon,IS
MOVEDNET,215,2013,Baker County,Oregon,IS
MOVEDIN,239,2014,Baker County,Oregon,IS
MOVEDOUT,30,2014,Baker County,Oregon,IS
MOVEDNET,209,2014,Baker County,Oregon,IS
MOVEDIN,263,2015,Baker County,Oregon,IS
MOVEDOUT,48,2015,Baker County,Oregon,IS
MOVEDNET,215,2015,Baker County,Oregon,IS
MOVEDIN,341,2016,Baker County,Oregon,IS
MOVEDOUT,38,2016,Baker County,Oregon,IS
MOVEDNET,303,2016,Baker County,Oregon,IS
MOVEDIN,306,2017,Baker County,Oregon,IS
MOVEDOUT,54,2017,Baker County,Oregon,IS
MOVEDNET,252,2017,Baker County,Oregon,IS
MOVEDIN,273,2018,Baker County,Oregon,IS
MOVEDOUT,89,2018,Baker County,Oregon,IS
MOVEDNET,184,2018,Baker County,Oregon,IS
MOVEDIN,197,2019,Baker County,Oregon,IS
MOVEDOUT,129,2019,Baker County,Oregon,IS
MOVEDNET,68,2019,Baker County,Oregon,IS
MOVEDIN,232,2020,Baker County,Oregon,IS
MOVEDOUT,112,2020,Baker County,Oregon,IS
MOVEDNET,120,2020,Baker County,Oregon,IS
MOVEDIN,792,2010,Benton County,Oregon,IS
MOVEDOUT,832,2010,Benton County,Oregon,IS
MOVEDNET,-40,2010,Benton County,Oregon,IS
MOVEDIN,797,2011,Benton County,Oregon,IS
MOVEDOUT,755,2011,Benton County,Oregon,IS
MOVEDNET,42,2011,Benton County,Oregon,IS
MOVEDIN,729,2012,Benton County,Oregon,IS
MOVEDOUT,691,2012,Benton County,Oregon,IS
MOVEDNET,38,2012,Benton County,Oregon,IS
MOVEDIN,784,2013,Benton County,Oregon,IS
MOVEDOUT,641,2013,Benton County,Oregon,IS
MOVEDNET,143,2013,Benton County,Oregon,IS
MOVEDIN,888,2014,Benton County,Oregon,IS
MOVEDOUT,666,2014,Benton County,Oregon,IS
MOVEDNET,222,2014,Benton County,Oregon,IS
MOVEDIN,726,2015,Benton County,Oregon,IS
MOVEDOUT,648,2015,Benton County,Oregon,IS
MOVEDNET,78,2015,Benton County,Oregon,IS
MOVEDIN,691,2016,Benton County,Oregon,IS
MOVEDOUT,774,2016,Benton County,Oregon,IS
MOVEDNET,-83,2016,Benton County,Oregon,IS
MOVEDIN,712,2017,Benton County,Oregon,IS
MOVEDOUT,737,2017,Benton County,Oregon,IS
MOVEDNET,-25,2017,Benton County,Oregon,IS
MOVEDIN,675,2018,Benton County,Oregon,IS
MOVEDOUT,846,2018,Benton County,Oregon,IS
MOVEDNET,-171,2018,Benton County,Oregon,IS
MOVEDIN,596,2019,Benton County,Oregon,IS
MOVEDOUT,867,2019,Benton County,Oregon,IS
MOVEDNET,-271,2019,Benton County,Oregon,IS
MOVEDIN,755,2020,Benton County,Oregon,IS
MOVEDOUT,752,2020,Benton County,Oregon,IS
MOVEDNET,3,2020,Benton County,Oregon,IS
MOVEDIN,6957,2010,Clackamas County,Oregon,IS
MOVEDOUT,8985,2010,Clackamas County,Oregon,IS
MOVEDNET,-2028,2010,Clackamas County,Oregon,IS
MOVEDIN,7725,2011,Clackamas County,Oregon,IS
MOVEDOUT,8717,2011,Clackamas County,Oregon,IS
MOVEDNET,-992,2011,Clackamas County,Oregon,IS
MOVEDIN,7434,2012,Clackamas County,Oregon,IS
MOVEDOUT,8709,2012,Clackamas County,Oregon,IS
MOVEDNET,-1275,2012,Clackamas County,Oregon,IS
MOVEDIN,7281,2013,Clackamas County,Oregon,IS
MOVEDOUT,9056,2013,Clackamas County,Oregon,IS
MOVEDNET,-1775,2013,Clackamas County,Oregon,IS
MOVEDIN,7460,2014,Clackamas County,Oregon,IS
MOVEDOUT,9496,2014,Clackamas County,Oregon,IS
MOVEDNET,-2036,2014,Clackamas County,Oregon,IS
MOVEDIN,7700,2015,Clackamas County,Oregon,IS
MOVEDOUT,10050,2015,Clackamas County,Oregon,IS
MOVEDNET,-2350,2015,Clackamas County,Oregon,IS
MOVEDIN,7029,2016,Clackamas County,Oregon,IS
MOVEDOUT,10251,2016,Clackamas County,Oregon,IS
MOVEDNET,-3222,2016,Clackamas County,Oregon,IS
MOVEDIN,6982,2017,Clackamas County,Oregon,IS
MOVEDOUT,10698,2017,Clackamas County,Oregon,IS
MOVEDNET,-3716,2017,Clackamas County,Oregon,IS
MOVEDIN,7293,2018,Clackamas County,Oregon,IS
MOVEDOUT,10786,2018,Clackamas County,Oregon,IS
MOVEDNET,-3493,2018,Clackamas County,Oregon,IS
MOVEDIN,7434,2019,Clackamas County,Oregon,IS
MOVEDOUT,10368,2019,Clackamas County,Oregon,IS
MOVEDNET,-2934,2019,Clackamas County,Oregon,IS
MOVEDIN,7793,2020,Clackamas County,Oregon,IS
MOVEDOUT,9470,2020,Clackamas County,Oregon,IS
MOVEDNET,-1677,2020,Clackamas County,Oregon,IS
MOVEDIN,173,2010,Clatsop County,Oregon,IS
MOVEDOUT,315,2010,Clatsop County,Oregon,IS
MOVEDNET,-142,2010,Clatsop County,Oregon,IS
MOVEDIN,193,2011,Clatsop County,Oregon,IS
MOVEDOUT,326,2011,Clatsop County,Oregon,IS
MOVEDNET,-133,2011,Clatsop County,Oregon,IS
MOVEDIN,166,2012,Clatsop County,Oregon,IS
MOVEDOUT,490,2012,Clatsop County,Oregon,IS
MOVEDNET,-324,2012,Clatsop County,Oregon,IS
MOVEDIN,177,2013,Clatsop County,Oregon,IS
MOVEDOUT,438,2013,Clatsop County,Oregon,IS
MOVEDNET,-261,2013,Clatsop County,Oregon,IS
MOVEDIN,164,2014,Clatsop County,Oregon,IS
MOVEDOUT,486,2014,Clatsop County,Oregon,IS
MOVEDNET,-322,2014,Clatsop County,Oregon,IS
MOVEDIN,187,2015,Clatsop County,Oregon,IS
MOVEDOUT,367,2015,Clatsop County,Oregon,IS
MOVEDNET,-180,2015,Clatsop County,Oregon,IS
MOVEDIN,180,2016,Clatsop County,Oregon,IS
MOVEDOUT,411,2016,Clatsop County,Oregon,IS
MOVEDNET,-231,2016,Clatsop County,Oregon,IS
MOVEDIN,169,2017,Clatsop County,Oregon,IS
MOVEDOUT,143,2017,Clatsop County,Oregon,IS
MOVEDNET,26,2017,Clatsop County,Oregon,IS
MOVEDIN,174,2018,Clatsop County,Oregon,IS
MOVEDOUT,141,2018,Clatsop County,Oregon,IS
MOVEDNET,33,2018,Clatsop County,Oregon,IS
MOVEDIN,218,2019,Clatsop County,Oregon,IS
MOVEDOUT,196,2019,Clatsop County,Oregon,IS
MOVEDNET,22,2019,Clatsop County,Oregon,IS
MOVEDIN,189,2020,Clatsop County,Oregon,IS
MOVEDOUT,190,2020,Clatsop County,Oregon,IS
MOVEDNET,-1,2020,Clatsop County,Oregon,IS
MOVEDIN,376,2010,Columbia County,Oregon,IS
MOVEDOUT,665,2010,Columbia County,Oregon,IS
MOVEDNET,-289,2010,Columbia County,Oregon,IS
MOVEDIN,317,2011,Columbia County,Oregon,IS
MOVEDOUT,595,2011,Columbia County,Oregon,IS
MOVEDNET,-278,2011,Columbia County,Oregon,IS
MOVEDIN,231,2012,Columbia County,Oregon,IS
MOVEDOUT,480,2012,Columbia County,Oregon,IS
MOVEDNET,-249,2012,Columbia County,Oregon,IS
MOVEDIN,236,2013,Columbia County,Oregon,IS
MOVEDOUT,468,2013,Columbia County,Oregon,IS
MOVEDNET,-232,2013,Columbia County,Oregon,IS
MOVEDIN,329,2014,Columbia County,Oregon,IS
MOVEDOUT,464,2014,Columbia County,Oregon,IS
MOVEDNET,-135,2014,Columbia County,Oregon,IS
MOVEDIN,294,2015,Columbia County,Oregon,IS
MOVEDOUT,466,2015,Columbia County,Oregon,IS
MOVEDNET,-172,2015,Columbia County,Oregon,IS
MOVEDIN,452,2016,Columbia County,Oregon,IS
MOVEDOUT,540,2016,Columbia County,Oregon,IS
MOVEDNET,-88,2016,Columbia County,Oregon,IS
MOVEDIN,461,2017,Columbia County,Oregon,IS
MOVEDOUT,644,2017,Columbia County,Oregon,IS
MOVEDNET,-183,2017,Columbia County,Oregon,IS
MOVEDIN,391,2018,Columbia County,Oregon,IS
MOVEDOUT,650,2018,Columbia County,Oregon,IS
MOVEDNET,-259,2018,Columbia County,Oregon,IS
MOVEDIN,347,2019,Columbia County,Oregon,IS
MOVEDOUT,746,2019,Columbia County,Oregon,IS
MOVEDNET,-399,2019,Columbia County,Oregon,IS
MOVEDIN,340,2020,Columbia County,Oregon,IS
MOVEDOUT,452,2020,Columbia County,Oregon,IS
MOVEDNET,-112,2020,Columbia County,Oregon,IS
MOVEDIN,81,2010,Coos County,Oregon,IS
MOVEDOUT,185,2010,Coos County,Oregon,IS
MOVEDNET,-104,2010,Coos County,Oregon,IS
MOVEDIN,78,2011,Coos County,Oregon,IS
MOVEDOUT,160,2011,Coos County,Oregon,IS
MOVEDNET,-82,2011,Coos County,Oregon,IS
MOVEDIN,154,2012,Coos County,Oregon,IS
MOVEDOUT,125,2012,Coos County,Oregon,IS
MOVEDNET,29,2012,Coos County,Oregon,IS
MOVEDIN,179,2013,Coos County,Oregon,IS
MOVEDOUT,57,2013,Coos County,Oregon,IS
MOVEDNET,122,2013,Coos County,Oregon,IS
MOVEDIN,171,2014,Coos County,Oregon,IS
MOVEDOUT,69,2014,Coos County,Oregon,IS
MOVEDNET,102,2014,Coos County,Oregon,IS
MOVEDIN,88,2015,Coos County,Oregon,IS
MOVEDOUT,111,2015,Coos County,Oregon,IS
MOVEDNET,-23,2015,Coos County,Oregon,IS
MOVEDIN,130,2016,Coos County,Oregon,IS
MOVEDOUT,103,2016,Coos County,Oregon,IS
MOVEDNET,27,2016,Coos County,Oregon,IS
MOVEDIN,92,2017,Coos County,Oregon,IS
MOVEDOUT,104,2017,Coos County,Oregon,IS
MOVEDNET,-12,2017,Coos County,Oregon,IS
MOVEDIN,89,2018,Coos County,Oregon,IS
MOVEDOUT,99,2018,Coos County,Oregon,IS
MOVEDNET,-10,2018,Coos County,Oregon,IS
MOVEDIN,95,2019,Coos County,Oregon,IS
MOVEDOUT,70,2019,Coos County,Oregon,IS
MOVEDNET,25,2019,Coos County,Oregon,IS
MOVEDIN,99,2020,Coos County,Oregon,IS
MOVEDOUT,30,2020,Coos County,Oregon,IS
MOVEDNET,69,2020,Coos County,Oregon,IS
MOVEDIN,10,2010,Crook County,Oregon,IS
MOVEDOUT,32,2010,Crook County,Oregon,IS
MOVEDNET,-22,2010,Crook County,Oregon,IS
MOVEDIN,0,2011,Crook County,Oregon,IS
MOVEDOUT,43,2011,Crook County,Oregon,IS
MOVEDNET,-43,2011,Crook County,Oregon,IS
MOVEDIN,13,2012,Crook County,Oregon,IS
MOVEDOUT,56,2012,Crook County,Oregon,IS
MOVEDNET,-43,2012,Crook County,Oregon,IS
MOVEDIN,58,2013,Crook County,Oregon,IS
MOVEDOUT,91,2013,Crook County,Oregon,IS
MOVEDNET,-33,2013,Crook County,Oregon,IS
MOVEDIN,81,2014,Crook County,Oregon,IS
MOVEDOUT,98,2014,Crook County,Oregon,IS
MOVEDNET,-17,2014,Crook County,Oregon,IS
MOVEDIN,78,2015,Crook County,Oregon,IS
MOVEDOUT,72,2015,Crook County,Oregon,IS
MOVEDNET,6,2015,Crook County,Oregon,IS
MOVEDIN,74,2016,Crook County,Oregon,IS
MOVEDOUT,97,2016,Crook County,Oregon,IS
MOVEDNET,-23,2016,Crook County,Oregon,IS
MOVEDIN,63,2017,Crook County,Oregon,IS
MOVEDOUT,55,2017,Crook County,Oregon,IS
MOVEDNET,8,2017,Crook County,Oregon,IS
MOVEDIN,107,2018,Crook County,Oregon,IS
MOVEDOUT,33,2018,Crook County,Oregon,IS
MOVEDNET,74,2018,Crook County,Oregon,IS
MOVEDIN,98,2019,Crook County,Oregon,IS
MOVEDOUT,30,2019,Crook County,Oregon,IS
MOVEDNET,68,2019,Crook County,Oregon,IS
MOVEDIN,86,2020,Crook County,Oregon,IS
MOVEDOUT,40,2020,Crook County,Oregon,IS
MOVEDNET,46,2020,Crook County,Oregon,IS
MOVEDIN,89,2010,Curry County,Oregon,IS
MOVEDOUT,18,2010,Curry County,Oregon,IS
MOVEDNET,71,2010,Curry County,Oregon,IS
MOVEDIN,151,2011,Curry County,Oregon,IS
MOVEDOUT,22,2011,Curry County,Oregon,IS
MOVEDNET,129,2011,Curry County,Oregon,IS
MOVEDIN,175,2012,Curry County,Oregon,IS
MOVEDOUT,12,2012,Curry County,Oregon,IS
MOVEDNET,163,2012,Curry County,Oregon,IS
MOVEDIN,178,2013,Curry County,Oregon,IS
MOVEDOUT,44,2013,Curry County,Oregon,IS
MOVEDNET,134,2013,Curry County,Oregon,IS
MOVEDIN,75,2014,Curry County,Oregon,IS
MOVEDOUT,44,2014,Curry County,Oregon,IS
MOVEDNET,31,2014,Curry County,Oregon,IS
MOVEDIN,63,2015,Curry County,Oregon,IS
MOVEDOUT,41,2015,Curry County,Oregon,IS
MOVEDNET,22,2015,Curry County,Oregon,IS
MOVEDIN,0,2016,Curry County,Oregon,IS
MOVEDOUT,45,2016,Curry County,Oregon,IS
MOVEDNET,-45,2016,Curry County,Oregon,IS
MOVEDIN,10,2017,Curry County,Oregon,IS
MOVEDOUT,43,2017,Curry County,Oregon,IS
MOVEDNET,-33,2017,Curry County,Oregon,IS
MOVEDIN,10,2018,Curry County,Oregon,IS
MOVEDOUT,23,2018,Curry County,Oregon,IS
MOVEDNET,-13,2018,Curry County,Oregon,IS
MOVEDIN,10,2019,Curry County,Oregon,IS
MOVEDOUT,26,2019,Curry County,Oregon,IS
MOVEDNET,-16,2019,Curry County,Oregon,IS
MOVEDIN,10,2020,Curry County,Oregon,IS
MOVEDOUT,18,2020,Curry County,Oregon,IS
MOVEDNET,-8,2020,Curry County,Oregon,IS
MOVEDIN,522,2010,Deschutes County,Oregon,IS
MOVEDOUT,307,2010,Deschutes County,Oregon,IS
MOVEDNET,215,2010,Deschutes County,Oregon,IS
MOVEDIN,509,2011,Deschutes County,Oregon,IS
MOVEDOUT,315,2011,Deschutes County,Oregon,IS
MOVEDNET,194,2011,Deschutes County,Oregon,IS
MOVEDIN,437,2012,Deschutes County,Oregon,IS
MOVEDOUT,239,2012,Deschutes County,Oregon,IS
MOVEDNET,198,2012,Deschutes County,Oregon,IS
MOVEDIN,392,2013,Deschutes County,Oregon,IS
MOVEDOUT,277,2013,Deschutes County,Oregon,IS
MOVEDNET,115,2013,Deschutes County,Oregon,IS
MOVEDIN,327,2014,Deschutes County,Oregon,IS
MOVEDOUT,267,2014,Deschutes County,Oregon,IS
MOVEDNET,60,2014,Deschutes County,Oregon,IS
MOVEDIN,350,2015,Deschutes County,Oregon,IS
MOVEDOUT,392,2015,Deschutes County,Oregon,IS
MOVEDNET,-42,2015,Deschutes County,Oregon,IS
MOVEDIN,345,2016,Deschutes County,Oregon,IS
MOVEDOUT,498,2016,Deschutes County,Oregon,IS
MOVEDNET,-153,2016,Deschutes County,Oregon,IS
MOVEDIN,463,2017,Deschutes County,Oregon,IS
MOVEDOUT,501,2017,Deschutes County,Oregon,IS
MOVEDNET,-38,2017,Deschutes County,Oregon,IS
MOVEDIN,469,2018,Deschutes County,Oregon,IS
MOVEDOUT,568,2018,Deschutes County,Oregon,IS
MOVEDNET,-99,2018,Deschutes County,Oregon,IS
MOVEDIN,446,2019,Deschutes County,Oregon,IS
MOVEDOUT,686,2019,Deschutes County,Oregon,IS
MOVEDNET,-240,2019,Deschutes County,Oregon,IS
MOVEDIN,404,2020,Deschutes County,Oregon,IS
MOVEDOUT,587,2020,Deschutes County,Oregon,IS
MOVEDNET,-183,2020,Deschutes County,Oregon,IS
MOVEDIN,226,2010,Douglas County,Oregon,IS
MOVEDOUT,277,2010,Douglas County,Oregon,IS
MOVEDNET,-51,2010,Douglas County,Oregon,IS
MOVEDIN,268,2011,Douglas County,Oregon,IS
MOVEDOUT,373,2011,Douglas County,Oregon,IS
MOVEDNET,-105,2011,Douglas County,Oregon,IS
MOVEDIN,204,2012,Douglas County,Oregon,IS
MOVEDOUT,191,2012,Douglas County,Oregon,IS
MOVEDNET,13,2012,Douglas County,Oregon,IS
MOVEDIN,243,2013,Douglas County,Oregon,IS
MOVEDOUT,203,2013,Douglas County,Oregon,IS
MOVEDNET,40,2013,Douglas County,Oregon,IS
MOVEDIN,299,2014,Douglas County,Oregon,IS
MOVEDOUT,218,2014,Douglas County,Oregon,IS
MOVEDNET,81,2014,Douglas County,Oregon,IS
MOVEDIN,222,2015,Douglas County,Oregon,IS
MOVEDOUT,245,2015,Douglas County,Oregon,IS
MOVEDNET,-23,2015,Douglas County,Oregon,IS
MOVEDIN,228,2016,Douglas County,Oregon,IS
MOVEDOUT,176,2016,Douglas County,Oregon,IS
MOVEDNET,52,2016,Douglas County,Oregon,IS
MOVEDIN,207,2017,Douglas County,Oregon,IS
MOVEDOUT,174,2017,Douglas County,Oregon,IS
MOVEDNET,33,2017,Douglas County,Oregon,IS
MOVEDIN,195,2018,Douglas County,Oregon,IS
MOVEDOUT,219,2018,Douglas County,Oregon,IS
MOVEDNET,-24,2018,Douglas County,Oregon,IS
MOVEDIN,144,2019,Douglas County,Oregon,IS
MOVEDOUT,160,2019,Douglas County,Oregon,IS
MOVEDNET,-16,2019,Douglas County,Oregon,IS
MOVEDIN,102,2020,Douglas County,Oregon,IS
MOVEDOUT,122,2020,Douglas County,Oregon,IS
MOVEDNET,-20,2020,Douglas County,Oregon,IS
MOVEDIN,0,2010,Gilliam County,Oregon,IS
MOVEDOUT,4,2010,Gilliam County,Oregon,IS
MOVEDNET,-4,2010,Gilliam County,Oregon,IS
MOVEDIN,0,2011,Gilliam County,Oregon,IS
MOVEDOUT,4,2011,Gilliam County,Oregon,IS
MOVEDNET,-4,2011,Gilliam County,Oregon,IS
MOVEDIN,0,2012,Gilliam County,Oregon,IS
MOVEDOUT,5,2012,Gilliam County,Oregon,IS
MOVEDNET,-5,2012,Gilliam County,Oregon,IS
MOVEDIN,0,2015,Gilliam County,Oregon,IS
MOVEDOUT,2,2015,Gilliam County,Oregon,IS
MOVEDNET,-2,2015,Gilliam County,Oregon,IS
MOVEDIN,0,2016,Gilliam County,Oregon,IS
MOVEDOUT,5,2016,Gilliam County,Oregon,IS
MOVEDNET,-5,2016,Gilliam County,Oregon,IS
MOVEDIN,0,2017,Gilliam County,Oregon,IS
MOVEDOUT,11,2017,Gilliam County,Oregon,IS
MOVEDNET,-11,2017,Gilliam County,Oregon,IS
MOVEDIN,0,2018,Gilliam County,Oregon,IS
MOVEDOUT,27,2018,Gilliam County,Oregon,IS
MOVEDNET,-27,2018,Gilliam County,Oregon,IS
MOVEDIN,0,2019,Gilliam County,Oregon,IS
MOVEDOUT,28,2019,Gilliam County,Oregon,IS
MOVEDNET,-28,2019,Gilliam County,Oregon,IS
MOVEDIN,0,2020,Gilliam County,Oregon,IS
MOVEDOUT,30,2020,Gilliam County,Oregon,IS
MOVEDNET,-30,2020,Gilliam County,Oregon,IS
MOVEDIN,0,2010,Grant County,Oregon,IS
MOVEDOUT,26,2010,Grant County,Oregon,IS
MOVEDNET,-26,2010,Grant County,Oregon,IS
MOVEDIN,60,2011,Grant County,Oregon,IS
MOVEDOUT,30,2011,Grant County,Oregon,IS
MOVEDNET,30,2011,Grant County,Oregon,IS
MOVEDIN,39,2012,Grant County,Oregon,IS
MOVEDOUT,25,2012,Grant County,Oregon,IS
MOVEDNET,14,2012,Grant County,Oregon,IS
MOVEDIN,48,2013,Grant County,Oregon,IS
MOVEDOUT,3,2013,Grant County,Oregon,IS
MOVEDNET,45,2013,Grant County,Oregon,IS
MOVEDIN,57,2014,Grant County,Oregon,IS
MOVEDOUT,9,2014,Grant County,Oregon,IS
MOVEDNET,48,2014,Grant County,Oregon,IS
MOVEDIN,57,2015,Grant County,Oregon,IS
MOVEDOUT,5,2015,Grant County,Oregon,IS
MOVEDNET,52,2015,Grant County,Oregon,IS
MOVEDIN,36,2016,Grant County,Oregon,IS
MOVEDOUT,7,2016,Grant County,Oregon,IS
MOVEDNET,29,2016,Grant County,Oregon,IS
MOVEDIN,41,2017,Grant County,Oregon,IS
MOVEDOUT,32,2017,Grant County,Oregon,IS
MOVEDNET,9,2017,Grant County,Oregon,IS
MOVEDIN,18,2018,Grant County,Oregon,IS
MOVEDOUT,26,2018,Grant County,Oregon,IS
MOVEDNET,-8,2018,Grant County,Oregon,IS
MOVEDIN,0,2019,Grant County,Oregon,IS
MOVEDOUT,14,2019,Grant County,Oregon,IS
MOVEDNET,-14,2019,Grant County,Oregon,IS
MOVEDIN,0,2020,Grant County,Oregon,IS
MOVEDOUT,12,2020,Grant County,Oregon,IS
MOVEDNET,-12,2020,Grant County,Oregon,IS
MOVEDIN,9,2010,Harney County,Oregon,IS
MOVEDOUT,10,2010,Harney County,Oregon,IS
MOVEDNET,-1,2010,Harney County,Oregon,IS
MOVEDIN,22,2011,Harney County,Oregon,IS
MOVEDOUT,5,2011,Harney County,Oregon,IS
MOVEDNET,17,2011,Harney County,Oregon,IS
MOVEDIN,68,2012,Harney County,Oregon,IS
MOVEDOUT,5,2012,Harney County,Oregon,IS
MOVEDNET,63,2012,Harney County,Oregon,IS
MOVEDIN,53,2013,Harney County,Oregon,IS
MOVEDOUT,5,2013,Harney County,Oregon,IS
MOVEDNET,48,2013,Harney County,Oregon,IS
MOVEDIN,64,2014,Harney County,Oregon,IS
MOVEDOUT,1,2014,Harney County,Oregon,IS
MOVEDNET,63,2014,Harney County,Oregon,IS
MOVEDIN,21,2015,Harney County,Oregon,IS
MOVEDOUT,1,2015,Harney County,Oregon,IS
MOVEDNET,20,2015,Harney County,Oregon,IS
MOVEDIN,26,2016,Harney County,Oregon,IS
MOVEDOUT,2,2016,Harney County,Oregon,IS
MOVEDNET,24,2016,Harney County,Oregon,IS
MOVEDIN,0,2017,Harney County,Oregon,IS
MOVEDOUT,2,2017,Harney County,Oregon,IS
MOVEDNET,-2,2017,Harney County,Oregon,IS
MOVEDIN,0,2018,Harney County,Oregon,IS
MOVEDOUT,1,2018,Harney County,Oregon,IS
MOVEDNET,-1,2018,Harney County,Oregon,IS
MOVEDIN,419,2010,Hood River County,Oregon,IS
MOVEDOUT,167,2010,Hood River County,Oregon,IS
MOVEDNET,252,2010,Hood River County,Oregon,IS
MOVEDIN,402,2011,Hood River County,Oregon,IS
MOVEDOUT,172,2011,Hood River County,Oregon,IS
MOVEDNET,230,2011,Hood River County,Oregon,IS
MOVEDIN,325,2012,Hood River County,Oregon,IS
MOVEDOUT,157,2012,Hood River County,Oregon,IS
MOVEDNET,168,2012,Hood River County,Oregon,IS
MOVEDIN,168,2013,Hood River County,Oregon,IS
MOVEDOUT,151,2013,Hood River County,Oregon,IS
MOVEDNET,17,2013,Hood River County,Oregon,IS
MOVEDIN,199,2014,Hood River County,Oregon,IS
MOVEDOUT,86,2014,Hood River County,Oregon,IS
MOVEDNET,113,2014,Hood River County,Oregon,IS
MOVEDIN,167,2015,Hood River County,Oregon,IS
MOVEDOUT,103,2015,Hood River County,Oregon,IS
MOVEDNET,64,2015,Hood River County,Oregon,IS
MOVEDIN,94,2016,Hood River County,Oregon,IS
MOVEDOUT,104,2016,Hood River County,Oregon,IS
MOVEDNET,-10,2016,Hood River County,Oregon,IS
MOVEDIN,166,2017,Hood River County,Oregon,IS
MOVEDOUT,134,2017,Hood River County,Oregon,IS
MOVEDNET,32,2017,Hood River County,Oregon,IS
MOVEDIN,211,2018,Hood River County,Oregon,IS
MOVEDOUT,99,2018,Hood River County,Oregon,IS
MOVEDNET,112,2018,Hood River County,Oregon,IS
MOVEDIN,221,2019,Hood River County,Oregon,IS
MOVEDOUT,119,2019,Hood River County,Oregon,IS
MOVEDNET,102,2019,Hood River County,Oregon,IS
MOVEDIN,213,2020,Hood River County,Oregon,IS
MOVEDOUT,163,2020,Hood River County,Oregon,IS
MOVEDNET,50,2020,Hood River County,Oregon,IS
MOVEDIN,577,2010,Jackson County,Oregon,IS
MOVEDOUT,698,2010,Jackson County,Oregon,IS
MOVEDNET,-121,2010,Jackson County,Oregon,IS
MOVEDIN,637,2011,Jackson County,Oregon,IS
MOVEDOUT,643,2011,Jackson County,Oregon,IS
MOVEDNET,-6,2011,Jackson County,Oregon,IS
MOVEDIN,663,2012,Jackson County,Oregon,IS
MOVEDOUT,643,2012,Jackson County,Oregon,IS
MOVEDNET,20,2012,Jackson County,Oregon,IS
MOVEDIN,607,2013,Jackson County,Oregon,IS
MOVEDOUT,641,2013,Jackson County,Oregon,IS
MOVEDNET,-34,2013,Jackson County,Oregon,IS
MOVEDIN,616,2014,Jackson County,Oregon,IS
MOVEDOUT,526,2014,Jackson County,Oregon,IS
MOVEDNET,90,2014,Jackson County,Oregon,IS
MOVEDIN,640,2015,Jackson County,Oregon,IS
MOVEDOUT,380,2015,Jackson County,Oregon,IS
MOVEDNET,260,2015,Jackson County,Oregon,IS
MOVEDIN,654,2016,Jackson County,Oregon,IS
MOVEDOUT,364,2016,Jackson County,Oregon,IS
MOVEDNET,290,2016,Jackson County,Oregon,IS
MOVEDIN,643,2017,Jackson County,Oregon,IS
MOVEDOUT,321,2017,Jackson County,Oregon,IS
MOVEDNET,322,2017,Jackson County,Oregon,IS
MOVEDIN,542,2018,Jackson County,Oregon,IS
MOVEDOUT,318,2018,Jackson County,Oregon,IS
MOVEDNET,224,2018,Jackson County,Oregon,IS
MOVEDIN,432,2019,Jackson County,Oregon,IS
MOVEDOUT,356,2019,Jackson County,Oregon,IS
MOVEDNET,76,2019,Jackson County,Oregon,IS
MOVEDIN,545,2020,Jackson County,Oregon,IS
MOVEDOUT,376,2020,Jackson County,Oregon,IS
MOVEDNET,169,2020,Jackson County,Oregon,IS
MOVEDIN,0,2010,Jefferson County,Oregon,IS
MOVEDOUT,87,2010,Jefferson County,Oregon,IS
MOVEDNET,-87,2010,Jefferson County,Oregon,IS
MOVEDIN,0,2011,Jefferson County,Oregon,IS
MOVEDOUT,77,2011,Jefferson County,Oregon,IS
MOVEDNET,-77,2011,Jefferson County,Oregon,IS
MOVEDIN,0,2012,Jefferson County,Oregon,IS
MOVEDOUT,97,2012,Jefferson County,Oregon,IS
MOVEDNET,-97,2012,Jefferson County,Oregon,IS
MOVEDIN,10,2013,Jefferson County,Oregon,IS
MOVEDOUT,84,2013,Jefferson County,Oregon,IS
MOVEDNET,-74,2013,Jefferson County,Oregon,IS
MOVEDIN,40,2014,Jefferson County,Oregon,IS
MOVEDOUT,97,2014,Jefferson County,Oregon,IS
MOVEDNET,-57,2014,Jefferson County,Oregon,IS
MOVEDIN,31,2015,Jefferson County,Oregon,IS
MOVEDOUT,120,2015,Jefferson County,Oregon,IS
MOVEDNET,-89,2015,Jefferson County,Oregon,IS
MOVEDIN,161,2016,Jefferson County,Oregon,IS
MOVEDOUT,108,2016,Jefferson County,Oregon,IS
MOVEDNET,53,2016,Jefferson County,Oregon,IS
MOVEDIN,153,2017,Jefferson County,Oregon,IS
MOVEDOUT,100,2017,Jefferson County,Oregon,IS
MOVEDNET,53,2017,Jefferson County,Oregon,IS
MOVEDIN,138,2018,Jefferson County,Oregon,IS
MOVEDOUT,146,2018,Jefferson County,Oregon,IS
